TYPE,SERIES,MODEL,DIAGONAL,SCREEN_TYPE,COUNTRY,PRICE
TELEPHONE,X 12,Xiaomi,none,AMOLED,none,500
TELEPHONE,S 15,Samsung,none,AMOLED,none,375
TELEPHONE,iPhone 13,Apple,none,XDR OLED,none,900
TELEPHONE,Xperia Pro-I,Sony,none,OLED,none,1175
TELEPHONE,Pixel 7,Google,none,AMOLED,none,1375
TELEVISION,Mi TV Q1E,none,65,QLED,China,700
TELEVISION,55PUS,none,55,LED,Netherlands,550
TELEVISION,TV40-FS2G,none,40,LED,United Kingdom,250
TELEVISION,UE43AU7100UX,none,43,LED,South Korea,425
TELEVISION,43UQ75006LF,none,43,LED,South Korea,375
TELEVISION,,none,60,LED,Chine,625
